Barcode,Antibiotic,Site,Recommended,Percent Resistance
771,ESBL,Hennepin,YES,0
560,ESBL,Hennepin,YES,2
360,ESBL,Hennepin,YES,0
761,ESBL,Hennepin,YES,6
751,ESBL,Hennepin,YES,0
721,ESBL,Hennepin,YES,2
371,ESBL,Hennepin,NO,47
531,ESBL,Hennepin,YES,9
131,ESBL,Hennepin,YES,0
661,ESBL,Hennepin,YES,2
511,ESBL,Hennepin,YES,0
261,ESBL,Hennepin,YES,1
551,ESBL,Hennepin,YES,0
520,ESBL,Hennepin,YES,2
700,ESBL,Hennepin,YES,0
231,ESBL,Hennepin,NO,21
260,ESBL,Hennepin,YES,0
510,ESBL,Hennepin,YES,2
171,ESBL,Hennepin,YES,0
500,ESBL,Hennepin,YES,1
200,ESBL,Hennepin,YES,2
220,ESBL,Hennepin,YES,5
731,ESBL,Hennepin,YES,8
351,ESBL,Hennepin,NO,34
570,ESBL,Hennepin,YES,0
300,ESBL,Hennepin,YES,2
671,ESBL,Hennepin,YES,0
630,ESBL,Hennepin,YES,1
251,ESBL,Hennepin,YES,0
711,ESBL,Hennepin,YES,5
321,ESBL,Hennepin,YES,1
160,ESBL,Hennepin,YES,1
651,ESBL,Hennepin,YES,0
370,ESBL,Hennepin,NO,52
550,ESBL,Hennepin,YES,1
350,ESBL,Hennepin,YES,1
660,ESBL,Hennepin,YES,0
741,ESBL,Hennepin,YES,5
750,ESBL,Hennepin,YES,1
710,ESBL,Hennepin,YES,5
521,ESBL,Hennepin,YES,2
130,ESBL,Hennepin,YES,5
320,ESBL,Hennepin,YES,1
720,ESBL,Hennepin,YES,5
611,ESBL,Hennepin,YES,2
540,ESBL,Hennepin,YES,5
730,ESBL,Hennepin,YES,1
631,ESBL,Hennepin,YES,5
230,ESBL,Hennepin,YES,2
621,ESBL,Hennepin,YES,2
341,ESBL,Hennepin,YES,1
330,ESBL,Hennepin,YES,5
240,ESBL,Hennepin,YES,2
221,ESBL,Hennepin,YES,5
121,ESBL,Hennepin,YES,1
641,ESBL,Hennepin,YES,5
20,ESBL,Hennepin,YES,2
400,ESBL,Hennepin,YES,5
331,ESBL,Hennepin,YES,1
650,ESBL,Hennepin,YES,5
770,ESBL,Hennepin,YES,2
610,ESBL,Hennepin,YES,5
161,ESBL,Hennepin,YES,1
600,ESBL,Hennepin,YES,5
E. coli,Trimethoprim/Sulfamethoxazole,Hennepin,NO,27
561,Trimethoprim/Sulfamethoxazole,Hennepin,NO,39
620,Trimethoprim/Sulfamethoxazole,Hennepin,YES,12
571,Trimethoprim/Sulfamethoxazole,Hennepin,NO,53
271,Trimethoprim/Sulfamethoxazole,Hennepin,NO,54
530,Trimethoprim/Sulfamethoxazole,Hennepin,YES,13
760,Trimethoprim/Sulfamethoxazole,Hennepin,YES,15
361,Trimethoprim/Sulfamethoxazole,Hennepin,YES,18
771,Trimethoprim/Sulfamethoxazole,Hennepin,NO,51
560,Trimethoprim/Sulfamethoxazole,Hennepin,NO,28
360,Trimethoprim/Sulfamethoxazole,Hennepin,YES,6
761,Trimethoprim/Sulfamethoxazole,Hennepin,YES,12
751,Trimethoprim/Sulfamethoxazole,Hennepin,YES,0
721,Trimethoprim/Sulfamethoxazole,Hennepin,YES,14
371,Trimethoprim/Sulfamethoxazole,Hennepin,NO,22
531,Trimethoprim/Sulfamethoxazole,Hennepin,YES,9
131,Trimethoprim/Sulfamethoxazole,Hennepin,YES,18
661,Trimethoprim/Sulfamethoxazole,Hennepin,NO,32
511,Trimethoprim/Sulfamethoxazole,Hennepin,YES,4
261,Trimethoprim/Sulfamethoxazole,Hennepin,YES,1
551,Trimethoprim/Sulfamethoxazole,Hennepin,YES,7
520,Trimethoprim/Sulfamethoxazole,Hennepin,NO,100
700,Trimethoprim/Sulfamethoxazole,Hennepin,YES,0
231,Trimethoprim/Sulfamethoxazole,Hennepin,NO,100
260,Trimethoprim/Sulfamethoxazole,Hennepin,YES,0
510,Trimethoprim/Sulfamethoxazole,Hennepin,NO,38
171,Trimethoprim/Sulfamethoxazole,Hennepin,NO,97
500,Trimethoprim/Sulfamethoxazole,Hennepin,NO,100
200,Trimethoprim/Sulfamethoxazole,Hennepin,NO,27
220,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
731,Trimethoprim/Sulfamethoxazole,Hennepin,YES,8
351,Trimethoprim/Sulfamethoxazole,Hennepin,NO,100
570,Trimethoprim/Sulfamethoxazole,Hennepin,YES,18
300,Trimethoprim/Sulfamethoxazole,Hennepin,YES,2
671,Trimethoprim/Sulfamethoxazole,Hennepin,NO,97
630,Trimethoprim/Sulfamethoxazole,Hennepin,NO,21
251,Trimethoprim/Sulfamethoxazole,Hennepin,YES,0
711,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
321,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
160,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
651,Trimethoprim/Sulfamethoxazole,Hennepin,NO,48
370,Trimethoprim/Sulfamethoxazole,Hennepin,YES,2
550,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
350,Trimethoprim/Sulfamethoxazole,Hennepin,YES,1
660,Trimethoprim/Sulfamethoxazole,Hennepin,YES,0
741,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
750,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
710,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
521,Trimethoprim/Sulfamethoxazole,Hennepin,NO,27
130,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
320,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
720,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
611,Trimethoprim/Sulfamethoxazole,Hennepin,NO,27
540,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
730,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
631,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
230,Trimethoprim/Sulfamethoxazole,Hennepin,NO,27
621,Trimethoprim/Sulfamethoxazole,Hennepin,YES,2
341,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
330,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
240,Trimethoprim/Sulfamethoxazole,Hennepin,NO,27
221,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
121,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
641,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
20,Trimethoprim/Sulfamethoxazole,Hennepin,NO,27
400,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
331,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
650,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
770,Trimethoprim/Sulfamethoxazole,Hennepin,NO,27
610,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
161,Trimethoprim/Sulfamethoxazole,Hennepin,NO,26
600,Trimethoprim/Sulfamethoxazole,Hennepin,NO,30
E. coli,Ciprofloxacin,Hennepin,YES,18
561,Ciprofloxacin,Hennepin,NO,88
620,Ciprofloxacin,Hennepin,YES,1
571,Ciprofloxacin,Hennepin,NO,41
271,Ciprofloxacin,Hennepin,YES,2
530,Ciprofloxacin,Hennepin,YES,5
760,Ciprofloxacin,Hennepin,YES,0
361,Ciprofloxacin,Hennepin,YES,1
771,Ciprofloxacin,Hennepin,YES,18
560,Ciprofloxacin,Hennepin,YES,8
360,Ciprofloxacin,Hennepin,YES,6
761,Ciprofloxacin,Hennepin,YES,6
751,Ciprofloxacin,Hennepin,YES,0
721,Ciprofloxacin,Hennepin,YES,2
371,Ciprofloxacin,Hennepin,NO,97
531,Ciprofloxacin,Hennepin,YES,1
131,Ciprofloxacin,Hennepin,YES,18
661,Ciprofloxacin,Hennepin,YES,17
511,Ciprofloxacin,Hennepin,YES,0
261,Ciprofloxacin,Hennepin,YES,14
551,Ciprofloxacin,Hennepin,YES,0
520,Ciprofloxacin,Hennepin,YES,2
700,Ciprofloxacin,Hennepin,YES,0
231,Ciprofloxacin,Hennepin,NO,41
260,Ciprofloxacin,Hennepin,NO,31
510,Ciprofloxacin,Hennepin,YES,2
171,Ciprofloxacin,Hennepin,YES,0
500,Ciprofloxacin,Hennepin,YES,1
200,Ciprofloxacin,Hennepin,YES,18
220,Ciprofloxacin,Hennepin,NO,22
731,Ciprofloxacin,Hennepin,YES,8
351,Ciprofloxacin,Hennepin,YES,1
570,Ciprofloxacin,Hennepin,YES,18
300,Ciprofloxacin,Hennepin,YES,2
671,Ciprofloxacin,Hennepin,YES,0
630,Ciprofloxacin,Hennepin,NO,21
251,Ciprofloxacin,Hennepin,YES,0
711,Ciprofloxacin,Hennepin,NO,22
321,Ciprofloxacin,Hennepin,YES,17
160,Ciprofloxacin,Hennepin,YES,1
651,Ciprofloxacin,Hennepin,YES,0
370,Ciprofloxacin,Hennepin,NO,52
550,Ciprofloxacin,Hennepin,YES,17
350,Ciprofloxacin,Hennepin,YES,1
660,Ciprofloxacin,Hennepin,NO,48
741,Ciprofloxacin,Hennepin,NO,22
750,Ciprofloxacin,Hennepin,YES,17
710,Ciprofloxacin,Hennepin,NO,21
521,Ciprofloxacin,Hennepin,YES,18
130,Ciprofloxacin,Hennepin,NO,22
320,Ciprofloxacin,Hennepin,YES,17
720,Ciprofloxacin,Hennepin,NO,21
611,Ciprofloxacin,Hennepin,YES,18
540,Ciprofloxacin,Hennepin,NO,22
730,Ciprofloxacin,Hennepin,YES,17
631,Ciprofloxacin,Hennepin,NO,21
230,Ciprofloxacin,Hennepin,YES,18
621,Ciprofloxacin,Hennepin,YES,2
341,Ciprofloxacin,Hennepin,YES,17
330,Ciprofloxacin,Hennepin,NO,21
240,Ciprofloxacin,Hennepin,YES,18
221,Ciprofloxacin,Hennepin,NO,22
121,Ciprofloxacin,Hennepin,YES,17
641,Ciprofloxacin,Hennepin,NO,21
20,Ciprofloxacin,Hennepin,YES,18
400,Ciprofloxacin,Hennepin,NO,22
331,Ciprofloxacin,Hennepin,YES,17
650,Ciprofloxacin,Hennepin,NO,21
770,Ciprofloxacin,Hennepin,YES,18
610,Ciprofloxacin,Hennepin,NO,22
161,Ciprofloxacin,Hennepin,YES,17
600,Ciprofloxacin,Hennepin,NO,21
E. coli,Nitrofurantoin,Hennepin,YES,3
561,Nitrofurantoin,Hennepin,YES,5
620,Nitrofurantoin,Hennepin,YES,0
571,Nitrofurantoin,Hennepin,YES,1
271,Nitrofurantoin,Hennepin,YES,6
530,Nitrofurantoin,Hennepin,YES,5
760,Nitrofurantoin,Hennepin,YES,0
361,Nitrofurantoin,Hennepin,YES,18
771,Nitrofurantoin,Hennepin,YES,5
560,Nitrofurantoin,Hennepin,YES,2
360,Nitrofurantoin,Hennepin,YES,6
761,Nitrofurantoin,Hennepin,YES,6
751,Nitrofurantoin,Hennepin,YES,0
721,Nitrofurantoin,Hennepin,YES,2
371,Nitrofurantoin,Hennepin,YES,0
531,Nitrofurantoin,Hennepin,YES,1
131,Nitrofurantoin,Hennepin,NO,38
661,Nitrofurantoin,Hennepin,YES,18
511,Nitrofurantoin,Hennepin,YES,0
261,Nitrofurantoin,Hennepin,YES,14
551,Nitrofurantoin,Hennepin,YES,0
520,Nitrofurantoin,Hennepin,YES,2
700,Nitrofurantoin,Hennepin,YES,0
231,Nitrofurantoin,Hennepin,YES,1
260,Nitrofurantoin,Hennepin,NO,31
510,Nitrofurantoin,Hennepin,NO,29
171,Nitrofurantoin,Hennepin,YES,0
500,Nitrofurantoin,Hennepin,YES,1
200,Nitrofurantoin,Hennepin,YES,3
220,Nitrofurantoin,Hennepin,YES,7
731,Nitrofurantoin,Hennepin,YES,19
351,Nitrofurantoin,Hennepin,YES,1
570,Nitrofurantoin,Hennepin,YES,18
300,Nitrofurantoin,Hennepin,YES,2
671,Nitrofurantoin,Hennepin,YES,0
630,Nitrofurantoin,Hennepin,NO,21
251,Nitrofurantoin,Hennepin,YES,0
711,Nitrofurantoin,Hennepin,YES,7
321,Nitrofurantoin,Hennepin,YES,2
160,Nitrofurantoin,Hennepin,NO,26
651,Nitrofurantoin,Hennepin,YES,0
370,Nitrofurantoin,Hennepin,YES,2
550,Nitrofurantoin,Hennepin,YES,2
350,Nitrofurantoin,Hennepin,YES,1
660,Nitrofurantoin,Hennepin,YES,0
741,Nitrofurantoin,Hennepin,YES,7
750,Nitrofurantoin,Hennepin,YES,2
710,Nitrofurantoin,Hennepin,YES,6
521,Nitrofurantoin,Hennepin,YES,3
130,Nitrofurantoin,Hennepin,YES,7
320,Nitrofurantoin,Hennepin,YES,2
720,Nitrofurantoin,Hennepin,YES,6
611,Nitrofurantoin,Hennepin,YES,3
540,Nitrofurantoin,Hennepin,YES,7
730,Nitrofurantoin,Hennepin,YES,2
631,Nitrofurantoin,Hennepin,YES,6
230,Nitrofurantoin,Hennepin,YES,3
621,Nitrofurantoin,Hennepin,YES,2
341,Nitrofurantoin,Hennepin,YES,2
330,Nitrofurantoin,Hennepin,YES,6
240,Nitrofurantoin,Hennepin,YES,3
221,Nitrofurantoin,Hennepin,YES,7
121,Nitrofurantoin,Hennepin,YES,2
641,Nitrofurantoin,Hennepin,YES,6
20,Nitrofurantoin,Hennepin,YES,3
400,Nitrofurantoin,Hennepin,YES,7
331,Nitrofurantoin,Hennepin,YES,2
650,Nitrofurantoin,Hennepin,YES,6
770,Nitrofurantoin,Hennepin,YES,3
610,Nitrofurantoin,Hennepin,YES,7
161,Nitrofurantoin,Hennepin,YES,2
600,Nitrofurantoin,Hennepin,YES,6
E. coli,Ampicillin,Harvorview,NO,69
561,Ampicillin,Harvorview,NO,91
620,Ampicillin,Harvorview,NO,68
571,Ampicillin,Harvorview,NO,74
271,Ampicillin,Harvorview,NO,77
530,Ampicillin,Harvorview,NO,55
760,Ampicillin,Harvorview,NO,59
361,Ampicillin,Harvorview,NO,76
771,Ampicillin,Harvorview,NO,56
560,Ampicillin,Harvorview,NO,86
360,Ampicillin,Harvorview,NO,70
761,Ampicillin,Harvorview,NO,81
751,Ampicillin,Harvorview,NO,55
721,Ampicillin,Harvorview,NO,85
371,Ampicillin,Harvorview,NO,30
531,Ampicillin,Harvorview,NO,41
131,Ampicillin,Harvorview,NO,98
661,Ampicillin,Harvorview,NO,77
511,Ampicillin,Harvorview,NO,30
261,Ampicillin,Harvorview,NO,44
551,Ampicillin,Harvorview,NO,98
520,Ampicillin,Harvorview,NO,52
700,Ampicillin,Harvorview,NO,47
231,Ampicillin,Harvorview,NO,72
260,Ampicillin,Harvorview,NO,78
510,Ampicillin,Harvorview,NO,35
171,Ampicillin,Harvorview,NO,53
500,Ampicillin,Harvorview,NO,100
200,Ampicillin,Harvorview,NO,69
220,Ampicillin,Harvorview,NO,59
731,Ampicillin,Harvorview,NO,30
351,Ampicillin,Harvorview,NO,100
570,Ampicillin,Harvorview,NO,98
300,Ampicillin,Harvorview,YES,2
671,Ampicillin,Harvorview,NO,97
630,Ampicillin,Harvorview,NO,100
251,Ampicillin,Harvorview,NO,98
711,Ampicillin,Harvorview,YES,2
321,Ampicillin,Harvorview,NO,47
160,Ampicillin,Harvorview,NO,72
651,Ampicillin,Harvorview,NO,98
370,Ampicillin,Harvorview,NO,100
550,Ampicillin,Harvorview,NO,68
350,Ampicillin,Harvorview,NO,100
660,Ampicillin,Harvorview,YES,0
741,Ampicillin,Harvorview,NO,73
750,Ampicillin,Harvorview,NO,68
710,Ampicillin,Harvorview,NO,72
521,Ampicillin,Harvorview,NO,69
130,Ampicillin,Harvorview,YES,2
320,Ampicillin,Harvorview,NO,68
720,Ampicillin,Harvorview,NO,72
611,Ampicillin,Harvorview,YES,0
540,Ampicillin,Harvorview,NO,73
730,Ampicillin,Harvorview,NO,68
631,Ampicillin,Harvorview,NO,72
230,Ampicillin,Harvorview,NO,69
621,Ampicillin,Harvorview,NO,100
341,Ampicillin,Harvorview,NO,68
330,Ampicillin,Harvorview,NO,72
240,Ampicillin,Harvorview,YES,0
221,Ampicillin,Harvorview,YES,2
121,Ampicillin,Harvorview,NO,68
641,Ampicillin,Harvorview,NO,72
20,Ampicillin,Harvorview,NO,69
400,Ampicillin,Harvorview,NO,73
331,Ampicillin,Harvorview,NO,68
650,Ampicillin,Harvorview,NO,72
770,Ampicillin,Harvorview,NO,69
610,Ampicillin,Harvorview,NO,73
161,Ampicillin,Harvorview,NO,68
600,Ampicillin,Harvorview,NO,72
E. coli,Amoxicillin/Clavulanate,Harvorview,NO,28
561,Amoxicillin/Clavulanate,Harvorview,NO,43
620,Amoxicillin/Clavulanate,Harvorview,NO,44
571,Amoxicillin/Clavulanate,Harvorview,NO,36
271,Amoxicillin/Clavulanate,Harvorview,YES,1
530,Amoxicillin/Clavulanate,Harvorview,NO,22
760,Amoxicillin/Clavulanate,Harvorview,NO,35
361,Amoxicillin/Clavulanate,Harvorview,NO,26
771,Amoxicillin/Clavulanate,Harvorview,NO,23
560,Amoxicillin/Clavulanate,Harvorview,NO,32
360,Amoxicillin/Clavulanate,Harvorview,YES,6
761,Amoxicillin/Clavulanate,Harvorview,NO,61
751,Amoxicillin/Clavulanate,Harvorview,YES,0
721,Amoxicillin/Clavulanate,Harvorview,NO,85
371,Amoxicillin/Clavulanate,Harvorview,NO,30
531,Amoxicillin/Clavulanate,Harvorview,YES,1
131,Amoxicillin/Clavulanate,Harvorview,NO,65
661,Amoxicillin/Clavulanate,Harvorview,NO,52
511,Amoxicillin/Clavulanate,Harvorview,YES,0
261,Amoxicillin/Clavulanate,Harvorview,YES,1
551,Amoxicillin/Clavulanate,Harvorview,NO,48
520,Amoxicillin/Clavulanate,Harvorview,YES,2
700,Amoxicillin/Clavulanate,Harvorview,YES,0
231,Amoxicillin/Clavulanate,Harvorview,NO,44
260,Amoxicillin/Clavulanate,Harvorview,NO,58
510,Amoxicillin/Clavulanate,Harvorview,YES,2
171,Amoxicillin/Clavulanate,Harvorview,YES,19
500,Amoxicillin/Clavulanate,Harvorview,YES,1
200,Amoxicillin/Clavulanate,Harvorview,NO,28
220,Amoxicillin/Clavulanate,Harvorview,YES,16
731,Amoxicillin/Clavulanate,Harvorview,YES,0
351,Amoxicillin/Clavulanate,Harvorview,NO,76
570,Amoxicillin/Clavulanate,Harvorview,NO,65
300,Amoxicillin/Clavulanate,Harvorview,YES,2
671,Amoxicillin/Clavulanate,Harvorview,YES,0
630,Amoxicillin/Clavulanate,Harvorview,NO,100
251,Amoxicillin/Clavulanate,Harvorview,YES,0
711,Amoxicillin/Clavulanate,Harvorview,YES,2
321,Amoxicillin/Clavulanate,Harvorview,YES,0
160,Amoxicillin/Clavulanate,Harvorview,NO,31
651,Amoxicillin/Clavulanate,Harvorview,NO,98
370,Amoxicillin/Clavulanate,Harvorview,NO,100
550,Amoxicillin/Clavulanate,Harvorview,NO,27
350,Amoxicillin/Clavulanate,Harvorview,YES,1
660,Amoxicillin/Clavulanate,Harvorview,YES,0
741,Amoxicillin/Clavulanate,Harvorview,NO,31
750,Amoxicillin/Clavulanate,Harvorview,NO,27
710,Amoxicillin/Clavulanate,Harvorview,NO,31
521,Amoxicillin/Clavulanate,Harvorview,NO,28
130,Amoxicillin/Clavulanate,Harvorview,YES,2
320,Amoxicillin/Clavulanate,Harvorview,NO,27
720,Amoxicillin/Clavulanate,Harvorview,NO,31
611,Amoxicillin/Clavulanate,Harvorview,YES,0
540,Amoxicillin/Clavulanate,Harvorview,NO,31
730,Amoxicillin/Clavulanate,Harvorview,NO,27
631,Amoxicillin/Clavulanate,Harvorview,NO,31
230,Amoxicillin/Clavulanate,Harvorview,NO,28
621,Amoxicillin/Clavulanate,Harvorview,NO,100
341,Amoxicillin/Clavulanate,Harvorview,NO,27
330,Amoxicillin/Clavulanate,Harvorview,NO,31
240,Amoxicillin/Clavulanate,Harvorview,YES,0
221,Amoxicillin/Clavulanate,Harvorview,YES,2
121,Amoxicillin/Clavulanate,Harvorview,NO,27
641,Amoxicillin/Clavulanate,Harvorview,NO,31
20,Amoxicillin/Clavulanate,Harvorview,NO,28
400,Amoxicillin/Clavulanate,Harvorview,NO,31
331,Amoxicillin/Clavulanate,Harvorview,NO,27
650,Amoxicillin/Clavulanate,Harvorview,NO,31
770,Amoxicillin/Clavulanate,Harvorview,NO,28
610,Amoxicillin/Clavulanate,Harvorview,NO,31
161,Amoxicillin/Clavulanate,Harvorview,NO,27
600,Amoxicillin/Clavulanate,Harvorview,NO,31
E. coli,Cephalexin,Harvorview,NO,20
561,Cephalexin,Harvorview,NO,54
620,Cephalexin,Harvorview,NO,26
571,Cephalexin,Harvorview,NO,24
271,Cephalexin,Harvorview,YES,4
530,Cephalexin,Harvorview,YES,8
760,Cephalexin,Harvorview,NO,20
361,Cephalexin,Harvorview,YES,14
771,Cephalexin,Harvorview,YES,15
560,Cephalexin,Harvorview,NO,25
360,Cephalexin,Harvorview,YES,6
761,Cephalexin,Harvorview,NO,41
751,Cephalexin,Harvorview,YES,0
721,Cephalexin,Harvorview,NO,35
371,Cephalexin,Harvorview,NO,30
531,Cephalexin,Harvorview,YES,1
131,Cephalexin,Harvorview,NO,65
661,Cephalexin,Harvorview,YES,2
511,Cephalexin,Harvorview,YES,0
261,Cephalexin,Harvorview,YES,1
551,Cephalexin,Harvorview,YES,0
520,Cephalexin,Harvorview,YES,2
700,Cephalexin,Harvorview,YES,0
231,Cephalexin,Harvorview,YES,15
260,Cephalexin,Harvorview,NO,58
510,Cephalexin,Harvorview,YES,2
171,Cephalexin,Harvorview,YES,8
500,Cephalexin,Harvorview,YES,1
200,Cephalexin,Harvorview,NO,20
220,Cephalexin,Harvorview,YES,2
731,Cephalexin,Harvorview,YES,0
351,Cephalexin,Harvorview,NO,76
570,Cephalexin,Harvorview,NO,31
300,Cephalexin,Harvorview,YES,2
671,Cephalexin,Harvorview,YES,17
630,Cephalexin,Harvorview,YES,1
251,Cephalexin,Harvorview,YES,0
711,Cephalexin,Harvorview,YES,2
321,Cephalexin,Harvorview,YES,0
160,Cephalexin,Harvorview,NO,23
651,Cephalexin,Harvorview,YES,0
370,Cephalexin,Harvorview,NO,100
550,Cephalexin,Harvorview,YES,19
350,Cephalexin,Harvorview,YES,1
660,Cephalexin,Harvorview,YES,0
741,Cephalexin,Harvorview,NO,24
750,Cephalexin,Harvorview,YES,19
710,Cephalexin,Harvorview,NO,23
521,Cephalexin,Harvorview,NO,20
130,Cephalexin,Harvorview,YES,2
320,Cephalexin,Harvorview,YES,19
720,Cephalexin,Harvorview,NO,23
611,Cephalexin,Harvorview,YES,0
540,Cephalexin,Harvorview,NO,24
730,Cephalexin,Harvorview,YES,19
631,Cephalexin,Harvorview,NO,23
230,Cephalexin,Harvorview,NO,20
621,Cephalexin,Harvorview,YES,2
341,Cephalexin,Harvorview,YES,19
330,Cephalexin,Harvorview,NO,23
240,Cephalexin,Harvorview,YES,0
221,Cephalexin,Harvorview,YES,2
121,Cephalexin,Harvorview,YES,19
641,Cephalexin,Harvorview,NO,23
20,Cephalexin,Harvorview,NO,20
400,Cephalexin,Harvorview,NO,24
331,Cephalexin,Harvorview,YES,19
650,Cephalexin,Harvorview,NO,23
770,Cephalexin,Harvorview,NO,20
610,Cephalexin,Harvorview,NO,24
161,Cephalexin,Harvorview,YES,19
600,Cephalexin,Harvorview,NO,23
E. coli,Ceftazidime,Harvorview,YES,17
561,Ceftazidime,Harvorview,NO,47
620,Ceftazidime,Harvorview,NO,21
571,Ceftazidime,Harvorview,YES,16
271,Ceftazidime,Harvorview,YES,1
530,Ceftazidime,Harvorview,YES,8
760,Ceftazidime,Harvorview,NO,20
361,Ceftazidime,Harvorview,YES,14
771,Ceftazidime,Harvorview,YES,15
560,Ceftazidime,Harvorview,YES,17
360,Ceftazidime,Harvorview,YES,6
761,Ceftazidime,Harvorview,NO,41
751,Ceftazidime,Harvorview,YES,0
721,Ceftazidime,Harvorview,NO,35
371,Ceftazidime,Harvorview,NO,30
531,Ceftazidime,Harvorview,YES,1
131,Ceftazidime,Harvorview,NO,31
661,Ceftazidime,Harvorview,YES,2
511,Ceftazidime,Harvorview,YES,0
261,Ceftazidime,Harvorview,YES,1
551,Ceftazidime,Harvorview,YES,0
520,Ceftazidime,Harvorview,YES,2
700,Ceftazidime,Harvorview,YES,0
231,Ceftazidime,Harvorview,YES,15
260,Ceftazidime,Harvorview,NO,58
510,Ceftazidime,Harvorview,YES,2
171,Ceftazidime,Harvorview,YES,8
500,Ceftazidime,Harvorview,YES,1
200,Ceftazidime,Harvorview,YES,17
220,Ceftazidime,Harvorview,YES,2
731,Ceftazidime,Harvorview,YES,0
351,Ceftazidime,Harvorview,NO,76
570,Ceftazidime,Harvorview,NO,31
300,Ceftazidime,Harvorview,YES,2
671,Ceftazidime,Harvorview,YES,17
630,Ceftazidime,Harvorview,YES,1
251,Ceftazidime,Harvorview,YES,0
711,Ceftazidime,Harvorview,YES,2
321,Ceftazidime,Harvorview,YES,0
160,Ceftazidime,Harvorview,NO,20
651,Ceftazidime,Harvorview,YES,0
370,Ceftazidime,Harvorview,NO,100
550,Ceftazidime,Harvorview,YES,16
350,Ceftazidime,Harvorview,YES,1
660,Ceftazidime,Harvorview,YES,0
741,Ceftazidime,Harvorview,NO,21
750,Ceftazidime,Harvorview,YES,16
710,Ceftazidime,Harvorview,NO,20
521,Ceftazidime,Harvorview,YES,17
130,Ceftazidime,Harvorview,YES,2
320,Ceftazidime,Harvorview,YES,16
720,Ceftazidime,Harvorview,NO,20
611,Ceftazidime,Harvorview,YES,0
540,Ceftazidime,Harvorview,NO,21
730,Ceftazidime,Harvorview,YES,16
631,Ceftazidime,Harvorview,NO,20
230,Ceftazidime,Harvorview,YES,17
621,Ceftazidime,Harvorview,YES,2
341,Ceftazidime,Harvorview,YES,16
330,Ceftazidime,Harvorview,NO,20
240,Ceftazidime,Harvorview,YES,0
221,Ceftazidime,Harvorview,YES,2
121,Ceftazidime,Harvorview,YES,16
641,Ceftazidime,Harvorview,NO,20
20,Ceftazidime,Harvorview,YES,17
400,Ceftazidime,Harvorview,NO,21
331,Ceftazidime,Harvorview,YES,16
650,Ceftazidime,Harvorview,NO,20
770,Ceftazidime,Harvorview,YES,17
610,Ceftazidime,Harvorview,NO,21
161,Ceftazidime,Harvorview,YES,16
600,Ceftazidime,Harvorview,NO,20
E. coli,ESBL,Harvorview,YES,8
561,ESBL,Harvorview,NO,47
620,ESBL,Harvorview,YES,0
571,ESBL,Harvorview,YES,9
271,ESBL,Harvorview,YES,0
530,ESBL,Harvorview,YES,2
760,ESBL,Harvorview,YES,5
361,ESBL,Harvorview,YES,1
771,ESBL,Harvorview,YES,6
560,ESBL,Harvorview,YES,9
360,ESBL,Harvorview,YES,0
761,ESBL,Harvorview,YES,1
751,ESBL,Harvorview,YES,0
721,ESBL,Harvorview,YES,2
371,ESBL,Harvorview,YES,0
531,ESBL,Harvorview,YES,1
131,ESBL,Harvorview,YES,0
661,ESBL,Harvorview,YES,2
511,ESBL,Harvorview,YES,0
261,ESBL,Harvorview,YES,1
551,ESBL,Harvorview,YES,0
520,ESBL,Harvorview,YES,2
700,ESBL,Harvorview,YES,0
231,ESBL,Harvorview,YES,1
260,ESBL,Harvorview,YES,0
510,ESBL,Harvorview,YES,2
171,ESBL,Harvorview,YES,0
500,ESBL,Harvorview,YES,1
200,ESBL,Harvorview,YES,8
220,ESBL,Harvorview,YES,2
731,ESBL,Harvorview,YES,0
351,ESBL,Harvorview,NO,76
570,ESBL,Harvorview,YES,0
300,ESBL,Harvorview,YES,2
671,ESBL,Harvorview,YES,17
630,ESBL,Harvorview,YES,1
251,ESBL,Harvorview,YES,0
711,ESBL,Harvorview,YES,2
321,ESBL,Harvorview,YES,0
160,ESBL,Harvorview,YES,11
651,ESBL,Harvorview,NO,98
370,ESBL,Harvorview,YES,2
